dataset_id,system,source_orbit_type,orbit_type,variant,libration_point,branch,resonance,source_file,family_csv,row_count,jacobi_min,jacobi_max,period_min,period_max,stability_min,stability_max,mu,length_unit_km,time_unit_s,radius_secondary,script_status
earth-moon_lyapunov_L3,earth-moon,lyapunov,lyapunov,L3,L3,,,earth-moon_lyapunov_L3.xlsx,families/lyapunov.csv,5498,1.62564320605097,3.01214714234023,6.218390330998648,6.272720767920865,1.0,1.67669495582269,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_resonant_11,earth-moon,resonant,resonant,11,,,11,earth-moon_resonant_11.xlsx,families/resonant.csv,2052,1.85072812762492,2.24020856612768,6.2663535028310315,6.297008694115807,1.00013914707323,1.00023933022667,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_resonant_12,earth-moon,resonant,resonant,12,,,12,earth-moon_resonant_12.xlsx,families/resonant.csv,11998,1.45335211077064,2.89949347329886,10.231034242178028,12.573146289972547,1.0,74.1578820504385,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_resonant_13,earth-moon,resonant,resonant,13,,,13,earth-moon_resonant_13.xlsx,families/resonant.csv,19782,1.02679859922514,2.84040897087242,16.657173139992235,18.86531339576997,1.49850184970984,417.427036972349,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_resonant_14,earth-moon,resonant,resonant,14,,,14,earth-moon_resonant_14.xlsx,families/resonant.csv,13147,1.09035252048113,3.2695362049072,25.115314584921652,25.185598196171664,1.21796052208887,5.10976963473438,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_resonant_21,earth-moon,resonant,resonant,21,,,21,earth-moon_resonant_21.xlsx,families/resonant.csv,7467,2.39332373938576,3.17219461865408,5.886850477233688,6.296463135408091,1.0,1.00003161032398,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_resonant_23,earth-moon,resonant,resonant,23,,,23,earth-moon_resonant_23.xlsx,families/resonant.csv,9507,2.26697854124472,2.96966354247124,16.504566106592687,18.735499185405928,2.07769957651302,95.9597729404313,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_resonant_31,earth-moon,resonant,resonant,31,,,31,earth-moon_resonant_31.xlsx,families/resonant.csv,12156,2.49465284349566,3.36961196061724,6.264646310477123,6.538274659323235,1.37356401266321,8.49306435112713,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_resonant_32,earth-moon,resonant,resonant,32,,,32,earth-moon_resonant_32.xlsx,families/resonant.csv,8215,2.70506122293969,3.059058434386,10.526159802259516,12.92459101188292,1.0,33.8267667481738,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_resonant_34,earth-moon,resonant,resonant,34,,,34,earth-moon_resonant_34.xlsx,families/resonant.csv,10717,2.14091227103283,2.96952051958129,22.570926404456344,25.249918371266634,1.0,168.852628959751,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_resonant_41,earth-moon,resonant,resonant,41,,,41,earth-moon_resonant_41.xlsx,families/resonant.csv,8014,3.40000404970979,3.77261404825526,6.275290145228036,6.319931874537127,1.0,1.00636559960285,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_resonant_43,earth-moon,resonant,resonant,43,,,43,earth-moon_resonant_43.xlsx,families/resonant.csv,7517,2.24210674201051,2.58885518965277,18.528290764433272,19.170597234987476,1.0,16.3569996426139,0.01215058560962404,389703.264829278,382981.289129055,1737.1,unsupported_parameter
earth-moon_short_L4,earth-moon,short,spo,L4,L4,,,earth-moon_short_L4.xlsx,families/spo.csv,6999,2.0181025145306,2.98799705010891,6.285834624425885,6.582692158298978,1.0,1.00000000000423,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_short_L5,earth-moon,short,spo,L5,L5,,,earth-moon_short_L5.xlsx,families/spo.csv,6999,2.01810251396845,2.98799705010924,6.285834624363579,6.582692151858179,1.0,1.000000000012,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_vertical_L1,earth-moon,vertical,vertical,L1,L1,,,earth-moon_vertical_L1.xlsx,families/vertical.csv,6670,-0.820133585729988,2.99617593983767,4.0188102048786885,6.299874862351734,1.42403398554815,263.734000399635,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_vertical_L2,earth-moon,vertical,vertical,L2,L2,,,earth-moon_vertical_L2.xlsx,families/vertical.csv,9651,-1.12659856102396,2.89800645628467,4.984024246922832,6.297575547612384,1.00012771197327,241.799861996432,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_vertical_L3,earth-moon,vertical,vertical,L3,L3,,,earth-moon_vertical_L3.xlsx,families/vertical.csv,6999,-1.33308566060321,2.58231803041642,6.250494093996609,6.971633013569876,1.0,1.59671533513326,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_vertical_L4,earth-moon,vertical,vertical,L4,L4,,,earth-moon_vertical_L4.xlsx,families/vertical.csv,9172,-0.644023208803893,1.83466455106048,6.297676195424915,6.3110768063112905,1.00120754589215,1.0048215109333,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
earth-moon_vertical_L5,earth-moon,vertical,vertical,L5,L5,,,earth-moon_vertical_L5.xlsx,families/vertical.csv,9172,-0.644023208803893,1.83466455106048,6.297676195424915,6.3110768063112905,1.00120754589197,1.00482151093372,0.01215058560962404,389703.264829278,382981.289129055,1737.1,script_incomplete
